                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4366,                  0.375,                      1,                 1.3545,                 0.0973,                 0.0003,                 0.0003
                      2,                  1.127,                  0.625,                      1,                 1.3037,               0.093693,             0.00069307,             0.00069307
                      3,                0.79957,                  0.625,                      1,                 1.2197,               0.090078,              0.0010782,              0.0010782
                      4,                 0.8159,                  0.625,                      1,                 1.1094,               0.086455,              0.0014555,              0.0014555
                      5,                0.30063,                    0.5,                      1,                 1.0225,               0.082825,              0.0018248,              0.0018248
                      6,                0.11004,                  0.625,                      1,                0.98242,               0.079186,              0.0021861,              0.0021861
                      7,                0.15619,                  0.875,                      1,                0.88574,                0.07554,              0.0025396,              0.0025396
                      8,                0.19309,                  0.875,                      1,                0.88623,               0.071885,              0.0028852,              0.0028852
                      9,                 0.4357,                   0.75,                      1,                0.95801,               0.068223,              0.0032228,              0.0032228
                     10,                0.10007,                  0.875,                      1,                0.89746,               0.064553,              0.0035525,              0.0035525
                     11,                0.23903,                   0.75,                      1,                0.95166,               0.060874,              0.0038743,              0.0038743
                     12,                0.36702,                  0.625,                      1,                 1.1143,               0.057188,              0.0041882,              0.0041882
                     13,                0.68846,                  0.375,                      1,                 1.3428,               0.053494,              0.0044941,              0.0044941
                     14,                0.80275,                   0.25,                      1,                 1.4766,               0.049792,              0.0047922,              0.0047922
                     15,                  1.067,                  0.375,                      1,                 1.3438,               0.046082,              0.0050823,              0.0050823
                     16,                0.29528,                  0.375,                      1,                 1.3438,               0.042364,              0.0053644,              0.0053644
                     17,                0.43475,                    0.5,                      1,                 1.1738,               0.038639,              0.0056387,              0.0056387
                     18,                0.25999,                   0.75,                      1,                 1.0283,               0.034905,              0.0059051,              0.0059051
                     19,                0.40017,                   0.75,                      1,                 1.0283,               0.031163,              0.0061635,              0.0061635
                     20,                0.48551,                  0.625,                      1,                 1.1074,               0.027414,               0.006414,               0.006414
                     21,                0.89833,                  0.625,                      1,                 1.0869,               0.023657,              0.0066566,              0.0066566
                     22,                0.81932,                  0.625,                      1,                 1.0869,               0.019891,              0.0068913,              0.0068913
                     23,                0.55002,                    0.5,                      1,                 1.2842,               0.016118,               0.007118,               0.007118
                     24,                0.44601,                    0.5,                      1,                 1.2842,               0.012337,              0.0073369,              0.0073369
                     25,                0.47268,                    0.5,                      1,                 1.1807,              0.0085478,              0.0075478,              0.0075478
                     26,                0.77467,                    0.5,                      1,                 1.1807,               0.007525,               0.007525,               0.007525
                     27,                0.56348,                  0.625,                      1,                 1.1357,               0.007426,               0.007426,               0.007426
                     28,                0.59359,                  0.625,                      1,                 1.1357,               0.007327,               0.007327,               0.007327
                     29,                0.29828,                   0.75,                      1,                 1.0068,               0.007228,               0.007228,               0.007228
                     30,                0.45606,                   0.75,                      1,                 1.0068,               0.007129,               0.007129,               0.007129
                     31,                0.44648,                   0.75,                      1,                 1.0029,                0.00703,                0.00703,                0.00703
                     32,                0.44379,                   0.75,                      1,                 1.0029,               0.006931,               0.006931,               0.006931
                     33,                0.54222,                   0.75,                      1,                 1.0537,               0.006832,               0.006832,               0.006832
                     34,                0.53014,                   0.75,                      1,                 1.0537,               0.006733,               0.006733,               0.006733
                     35,                0.67058,                  0.625,                      1,                 1.1221,               0.006634,               0.006634,               0.006634
                     36,                  0.444,                  0.625,                      1,                 1.1221,               0.006535,               0.006535,               0.006535
                     37,                0.73005,                   0.75,                      1,                 1.0215,               0.006436,               0.006436,               0.006436
                     38,                0.34052,                   0.75,                      1,                 1.0215,               0.006337,               0.006337,               0.006337
                     39,                0.48215,                  0.625,                      1,                 1.0908,               0.006238,               0.006238,               0.006238
                     40,                0.42759,                  0.625,                      1,                 1.0908,               0.006139,               0.006139,               0.006139
                     41,                0.31341,                   0.75,                      1,                0.99414,                0.00604,                0.00604,                0.00604
                     42,                0.25965,                   0.75,                      1,                0.99414,               0.005941,               0.005941,               0.005941
                     43,                0.26459,                   0.75,                      1,                0.99805,               0.005842,               0.005842,               0.005842
                     44,                0.24115,                   0.75,                      1,                0.99805,               0.005743,               0.005743,               0.005743
                     45,                0.41278,                   0.75,                      1,                0.98486,               0.005644,               0.005644,               0.005644
                     46,                0.38247,                   0.75,                      1,                0.98486,               0.005545,               0.005545,               0.005545
                     47,                0.64181,                   0.75,                      1,                0.93018,               0.005446,               0.005446,               0.005446
                     48,                0.37909,                   0.75,                      1,                0.93018,               0.005347,               0.005347,               0.005347
                     49,                0.27694,                   0.75,                      1,                0.92773,               0.005248,               0.005248,               0.005248
                     50,                0.42153,                   0.75,                      1,                0.92773,               0.005149,               0.005149,               0.005149
                     51,                0.51615,                  0.875,                      1,                0.88281,                0.00505,                0.00505,                0.00505
                     52,                0.18901,                  0.875,                      1,                0.88281,               0.004951,               0.004951,               0.004951
                     53,                0.25584,                   0.75,                      1,                0.99756,               0.004852,               0.004852,               0.004852
                     54,                0.44046,                   0.75,                      1,                0.99756,               0.004753,               0.004753,               0.004753
                     55,                0.10009,                  0.875,                      1,                0.87598,               0.004654,               0.004654,               0.004654
                     56,                0.49193,                  0.875,                      1,                0.87598,               0.004555,               0.004555,               0.004555
                     57,                0.62673,                  0.875,                      1,                0.86914,               0.004456,               0.004456,               0.004456
                     58,                0.58711,                  0.875,                      1,                0.86914,               0.004357,               0.004357,               0.004357
                     59,                0.33342,                  0.875,                      1,                0.86572,               0.004258,               0.004258,               0.004258
                     60,                0.15743,                  0.875,                      1,                0.86572,               0.004159,               0.004159,               0.004159
                     61,                0.48165,                  0.875,                      1,                0.85352,                0.00406,                0.00406,                0.00406
                     62,                0.55609,                  0.875,                      1,                0.85352,               0.003961,               0.003961,               0.003961
                     63,                0.44988,                  0.875,                      1,                0.83887,               0.003862,               0.003862,               0.003862
                     64,                0.37284,                  0.875,                      1,                0.83887,               0.003763,               0.003763,               0.003763
                     65,                0.47123,                  0.875,                      1,                0.85107,               0.003664,               0.003664,               0.003664
                     66,                0.49837,                  0.875,                      1,                0.85107,               0.003565,               0.003565,               0.003565
                     67,                0.18966,                  0.875,                      1,                0.86426,               0.003466,               0.003466,               0.003466
                     68,                0.27972,                  0.875,                      1,                0.86426,               0.003367,               0.003367,               0.003367
                     69,                0.60162,                  0.875,                      1,                0.89648,               0.003268,               0.003268,               0.003268
                     70,                0.37668,                  0.875,                      1,                0.89648,               0.003169,               0.003169,               0.003169
                     71,                0.31927,                   0.75,                      1,                0.91504,                0.00307,                0.00307,                0.00307
                     72,                0.28057,                   0.75,                      1,                0.91504,               0.002971,               0.002971,               0.002971
                     73,                0.12004,                  0.875,                      1,                0.88379,               0.002872,               0.002872,               0.002872
                     74,                0.22897,                  0.875,                      1,                0.88379,               0.002773,               0.002773,               0.002773
                     75,                0.27603,                  0.875,                      1,                0.84961,               0.002674,               0.002674,               0.002674
                     76,                0.17445,                  0.875,                      1,                0.84961,               0.002575,               0.002575,               0.002575
                     77,                0.45303,                  0.875,                      1,                0.82812,               0.002476,               0.002476,               0.002476
                     78,                0.23024,                  0.875,                      1,                0.82812,               0.002377,               0.002377,               0.002377
                     79,                0.84794,                  0.875,                      1,                0.81592,               0.002278,               0.002278,               0.002278
                     80,                0.42355,                  0.875,                      1,                0.81592,               0.002179,               0.002179,               0.002179
                     81,                0.29635,                  0.875,                      1,                0.81543,                0.00208,                0.00208,                0.00208
                     82,                0.16984,                  0.875,                      1,                0.81543,               0.001981,               0.001981,               0.001981
                     83,                0.17348,                  0.875,                      1,                0.82617,               0.001882,               0.001882,               0.001882
                     84,                0.21345,                  0.875,                      1,                0.82617,               0.001783,               0.001783,               0.001783
                     85,                0.28927,                  0.875,                      1,                0.82812,               0.001684,               0.001684,               0.001684
                     86,                0.22814,                  0.875,                      1,                0.82812,               0.001585,               0.001585,               0.001585
                     87,                0.14935,                  0.875,                      1,                0.84082,               0.001486,               0.001486,               0.001486
                     88,                0.14823,                  0.875,                      1,                0.84082,               0.001387,               0.001387,               0.001387
                     89,                0.21166,                  0.875,                      1,                0.84424,               0.001288,               0.001288,               0.001288
                     90,                0.21926,                  0.875,                      1,                0.84424,               0.001189,               0.001189,               0.001189
                     91,                0.12643,                  0.875,                      1,                0.84473,                0.00109,                0.00109,                0.00109
                     92,                0.24528,                  0.875,                      1,                0.84473,               0.000991,               0.000991,               0.000991
                     93,                0.14902,                  0.875,                      1,                0.84668,               0.000892,               0.000892,               0.000892
                     94,                0.19308,                  0.875,                      1,                0.84668,               0.000793,               0.000793,               0.000793
                     95,                0.53591,                  0.875,                      1,                0.83984,               0.000694,               0.000694,               0.000694
                     96,                0.12641,                  0.875,                      1,                0.83984,               0.000595,               0.000595,               0.000595
                     97,                0.06191,                  0.875,                      1,                 0.8335,               0.000496,               0.000496,               0.000496
                     98,                0.16673,                  0.875,                      1,                 0.8335,               0.000397,               0.000397,               0.000397
                     99,                0.32228,                      1,                      1,                0.84277,               0.000298,               0.000298,               0.000298
                    100,                0.20966,                      1,                      1,                0.84277,               0.000199,               0.000199,               0.000199
